probe,arch,layer,domain,aggregation,n,auroc,tpr@1%fpr,tpr@5%fpr,threshold,TP,TN,FP,FN
logreg/L51,logreg,51,healthcare,last,157,0.7175,0.0943,0.3208,0.0007,40,63,41,13
logreg/L44,logreg,44,healthcare,last,157,0.7173,0.1509,0.1887,0.0003,40,63,41,13
mlp/L26,mlp,26,economy,max_pooled,746,0.7173,0.0,0.0,1.0,210,293,123,120
mlp/L26,mlp,26,education,max_pooled,746,0.7173,0.0,0.0,1.0,210,293,123,120
mlp/L26,mlp,26,entertainment,max_pooled,746,0.7173,0.0,0.0,1.0,210,293,123,120
mlp/L26,mlp,26,healthcare,max_pooled,746,0.7173,0.0,0.0,1.0,210,293,123,120
mlp/L26,mlp,26,social,max_pooled,746,0.7173,0.0,0.0,1.0,210,293,123,120
logreg/L23,logreg,23,economy,top10_mean_pooled,746,0.7168,0.1121,0.2576,0.9996,162,363,53,168
logreg/L23,logreg,23,education,top10_mean_pooled,746,0.7168,0.1121,0.2576,0.9996,162,363,53,168
logreg/L23,logreg,23,entertainment,top10_mean_pooled,746,0.7168,0.1121,0.2576,0.9996,162,363,53,168
logreg/L23,logreg,23,healthcare,top10_mean_pooled,746,0.7168,0.1121,0.2576,0.9996,162,363,53,168
logreg/L23,logreg,23,social,top10_mean_pooled,746,0.7168,0.1121,0.2576,0.9996,162,363,53,168
mlp/L26,mlp,26,education,top10_mean,150,0.7165,0.125,0.15,0.9895,32,63,47,8
svm_rbf/L55,svm_rbf,55,economy,max_pooled,746,0.7165,0.1515,0.2576,0.4562,246,243,173,84
svm_rbf/L55,svm_rbf,55,education,max_pooled,746,0.7165,0.1515,0.2576,0.4562,246,243,173,84
svm_rbf/L55,svm_rbf,55,entertainment,max_pooled,746,0.7165,0.1515,0.2576,0.4562,246,243,173,84
svm_rbf/L55,svm_rbf,55,healthcare,max_pooled,746,0.7165,0.1515,0.2576,0.4562,246,243,173,84
svm_rbf/L55,svm_rbf,55,social,max_pooled,746,0.7165,0.1515,0.2576,0.4562,246,243,173,84
logreg/L41,logreg,41,education,last,150,0.7159,0.2,0.3,0.0001,25,81,29,15
logreg/L59,logreg,59,healthcare,max,157,0.7158,0.1698,0.283,0.9991,31,84,20,22
logreg/L43,logreg,43,education,last,150,0.7156,0.025,0.225,0.0001,28,83,27,12
logreg/L64,logreg,64,healthcare,threshold_05,157,0.7156,0.0943,0.3585,0.0886,28,89,15,25
svm_rbf/L55,svm_rbf,55,economy,max,132,0.7156,0.1404,0.2632,0.4862,29,64,11,28
logreg/L40,logreg,40,economy,threshold_05_pooled,746,0.7155,0.1364,0.2788,0.0563,206,303,113,124
logreg/L40,logreg,40,education,threshold_05_pooled,746,0.7155,0.1364,0.2788,0.0563,206,303,113,124
logreg/L40,logreg,40,entertainment,threshold_05_pooled,746,0.7155,0.1364,0.2788,0.0563,206,303,113,124
logreg/L40,logreg,40,healthcare,threshold_05_pooled,746,0.7155,0.1364,0.2788,0.0563,206,303,113,124
logreg/L40,logreg,40,social,threshold_05_pooled,746,0.7155,0.1364,0.2788,0.0563,206,303,113,124
logreg/L67,logreg,67,healthcare,threshold_05,157,0.7154,0.1509,0.4528,0.0968,24,99,5,29
svm_rbf/L60,svm_rbf,60,entertainment,top10_mean,160,0.7154,0.156,0.1651,0.4265,75,36,15,34
svm_rbf/L26,svm_rbf,26,healthcare,max,157,0.7153,0.0,0.0377,0.554,47,50,54,6
logreg/L36,logreg,36,entertainment,threshold_05,160,0.7151,0.1651,0.3853,0.0814,51,46,5,58
logreg/L26,logreg,26,education,mean,150,0.715,0.05,0.225,0.1735,23,86,24,17
logreg/L37,logreg,37,education,mean,150,0.715,0.25,0.325,0.0785,23,84,26,17
logreg/L47,logreg,47,social,top10_mean,147,0.7148,0.1268,0.1408,0.5343,66,35,41,5
svm_rbf/L22,svm_rbf,22,economy,threshold_05_pooled,746,0.7148,0.0,0.2364,0.7567,225,282,134,105
svm_rbf/L22,svm_rbf,22,education,threshold_05_pooled,746,0.7148,0.0,0.2364,0.7567,225,282,134,105
svm_rbf/L22,svm_rbf,22,entertainment,threshold_05_pooled,746,0.7148,0.0,0.2364,0.7567,225,282,134,105
svm_rbf/L22,svm_rbf,22,healthcare,threshold_05_pooled,746,0.7148,0.0,0.2364,0.7567,225,282,134,105
svm_rbf/L22,svm_rbf,22,social,threshold_05_pooled,746,0.7148,0.0,0.2364,0.7567,225,282,134,105
logreg/L39,logreg,39,economy,threshold_05_pooled,746,0.7145,0.1333,0.3061,0.0561,207,302,114,123
logreg/L39,logreg,39,education,threshold_05_pooled,746,0.7145,0.1333,0.3061,0.0561,207,302,114,123
logreg/L39,logreg,39,entertainment,threshold_05_pooled,746,0.7145,0.1333,0.3061,0.0561,207,302,114,123
logreg/L39,logreg,39,healthcare,threshold_05_pooled,746,0.7145,0.1333,0.3061,0.0561,207,302,114,123
logreg/L39,logreg,39,social,threshold_05_pooled,746,0.7145,0.1333,0.3061,0.0561,207,302,114,123
svm_rbf/L45,svm_rbf,45,entertainment,top5_mean,160,0.7145,0.1376,0.2569,0.4393,64,39,12,45
svm_rbf/L30,svm_rbf,30,economy,mean_pooled,746,0.7143,0.1394,0.3424,0.4593,203,324,92,127
svm_rbf/L30,svm_rbf,30,education,mean_pooled,746,0.7143,0.1394,0.3424,0.4593,203,324,92,127
svm_rbf/L30,svm_rbf,30,entertainment,mean_pooled,746,0.7143,0.1394,0.3424,0.4593,203,324,92,127
svm_rbf/L30,svm_rbf,30,healthcare,mean_pooled,746,0.7143,0.1394,0.3424,0.4593,203,324,92,127
svm_rbf/L30,svm_rbf,30,social,mean_pooled,746,0.7143,0.1394,0.3424,0.4593,203,324,92,127
logreg/L63,logreg,63,healthcare,threshold_05,157,0.714,0.1132,0.3585,0.0805,27,89,15,26
svm_rbf/L60,svm_rbf,60,entertainment,max,160,0.714,0.2202,0.2569,0.4595,67,37,14,42
logreg/L75,logreg,75,healthcare,threshold_05,157,0.7138,0.1887,0.3208,0.1561,26,93,11,27
svm_rbf/L30,svm_rbf,30,economy,mean,132,0.7135,0.0877,0.3333,0.4594,37,54,21,20
logreg/L43,logreg,43,social,top5_mean,147,0.7133,0.0704,0.169,0.7538,63,42,34,8
logreg/L74,logreg,74,healthcare,threshold_05,157,0.7133,0.1698,0.3396,0.1534,29,85,19,24
mlp/L70,mlp,70,social,top10_mean,147,0.7133,0.1408,0.2394,0.6678,63,33,43,8
logreg/L62,logreg,62,healthcare,threshold_05,157,0.7132,0.0566,0.3585,0.0977,28,88,16,25
logreg/L36,logreg,36,entertainment,top10_mean,160,0.7129,0.055,0.3486,0.891,60,42,9,49
logreg/L74,logreg,74,healthcare,top5_mean,157,0.7126,0.1887,0.3019,0.9898,24,91,13,29
logreg/L21,logreg,21,economy,top10_mean_pooled,746,0.7124,0.0,0.1818,0.999,217,283,133,113
logreg/L21,logreg,21,education,top10_mean_pooled,746,0.7124,0.0,0.1818,0.999,217,283,133,113
logreg/L21,logreg,21,entertainment,top10_mean_pooled,746,0.7124,0.0,0.1818,0.999,217,283,133,113
logreg/L21,logreg,21,healthcare,top10_mean_pooled,746,0.7124,0.0,0.1818,0.999,217,283,133,113
logreg/L21,logreg,21,social,top10_mean_pooled,746,0.7124,0.0,0.1818,0.999,217,283,133,113
logreg/L42,logreg,42,social,mean,147,0.7124,0.1127,0.3099,0.062,56,44,32,15
logreg/L45,logreg,45,healthcare,last,157,0.7123,0.1132,0.2453,0.0002,40,64,40,13
logreg/L22,logreg,22,economy,mean_pooled,746,0.7122,0.0909,0.3606,0.2917,177,355,61,153
logreg/L22,logreg,22,education,mean_pooled,746,0.7122,0.0909,0.3606,0.2917,177,355,61,153
logreg/L22,logreg,22,entertainment,mean_pooled,746,0.7122,0.0909,0.3606,0.2917,177,355,61,153
logreg/L22,logreg,22,healthcare,mean_pooled,746,0.7122,0.0909,0.3606,0.2917,177,355,61,153
logreg/L22,logreg,22,social,mean_pooled,746,0.7122,0.0909,0.3606,0.2917,177,355,61,153
logreg/L41,logreg,41,economy,top5_mean_pooled,746,0.7122,0.0576,0.2,0.9558,198,296,120,132
logreg/L41,logreg,41,education,top5_mean_pooled,746,0.7122,0.0576,0.2,0.9558,198,296,120,132
logreg/L41,logreg,41,entertainment,top5_mean_pooled,746,0.7122,0.0576,0.2,0.9558,198,296,120,132
logreg/L41,logreg,41,healthcare,top5_mean_pooled,746,0.7122,0.0576,0.2,0.9558,198,296,120,132
logreg/L41,logreg,41,social,top5_mean_pooled,746,0.7122,0.0576,0.2,0.9558,198,296,120,132
svm_rbf/L22,svm_rbf,22,social,max,147,0.7122,0.0986,0.1972,0.6134,37,62,14,34
logreg/L22,logreg,22,economy,top10_mean_pooled,746,0.712,0.0,0.2576,0.9997,188,328,88,142
logreg/L22,logreg,22,education,top10_mean_pooled,746,0.712,0.0,0.2576,0.9997,188,328,88,142
logreg/L22,logreg,22,entertainment,top10_mean_pooled,746,0.712,0.0,0.2576,0.9997,188,328,88,142
logreg/L22,logreg,22,healthcare,top10_mean_pooled,746,0.712,0.0,0.2576,0.9997,188,328,88,142
logreg/L22,logreg,22,social,top10_mean_pooled,746,0.712,0.0,0.2576,0.9997,188,328,88,142
logreg/L30,logreg,30,economy,threshold_05,132,0.7119,0.0351,0.1579,0.0631,34,59,16,23
logreg/L42,logreg,42,economy,last_pooled,746,0.7117,0.1061,0.1848,0.0001,215,291,125,115
logreg/L42,logreg,42,education,last_pooled,746,0.7117,0.1061,0.1848,0.0001,215,291,125,115
logreg/L42,logreg,42,entertainment,last_pooled,746,0.7117,0.1061,0.1848,0.0001,215,291,125,115
logreg/L42,logreg,42,healthcare,last_pooled,746,0.7117,0.1061,0.1848,0.0001,215,291,125,115
logreg/L42,logreg,42,social,last_pooled,746,0.7117,0.1061,0.1848,0.0001,215,291,125,115
mlp/L40,mlp,40,economy,top5_mean_pooled,746,0.7117,0.0636,0.2424,0.8612,202,291,125,128
mlp/L40,mlp,40,education,top5_mean_pooled,746,0.7117,0.0636,0.2424,0.8612,202,291,125,128
mlp/L40,mlp,40,entertainment,top5_mean_pooled,746,0.7117,0.0636,0.2424,0.8612,202,291,125,128
mlp/L40,mlp,40,healthcare,top5_mean_pooled,746,0.7117,0.0636,0.2424,0.8612,202,291,125,128
mlp/L40,mlp,40,social,top5_mean_pooled,746,0.7117,0.0636,0.2424,0.8612,202,291,125,128
logreg/L47,logreg,47,economy,mean_pooled,746,0.7114,0.0758,0.2242,0.0808,199,291,125,131
logreg/L47,logreg,47,education,mean_pooled,746,0.7114,0.0758,0.2242,0.0808,199,291,125,131
logreg/L47,logreg,47,entertainment,mean_pooled,746,0.7114,0.0758,0.2242,0.0808,199,291,125,131
logreg/L47,logreg,47,healthcare,mean_pooled,746,0.7114,0.0758,0.2242,0.0808,199,291,125,131
logreg/L47,logreg,47,social,mean_pooled,746,0.7114,0.0758,0.2242,0.0808,199,291,125,131
logreg/L46,logreg,46,economy,mean_pooled,746,0.7111,0.0939,0.2182,0.0413,256,219,197,74
logreg/L46,logreg,46,education,mean_pooled,746,0.7111,0.0939,0.2182,0.0413,256,219,197,74
logreg/L46,logreg,46,entertainment,mean_pooled,746,0.7111,0.0939,0.2182,0.0413,256,219,197,74
logreg/L46,logreg,46,healthcare,mean_pooled,746,0.7111,0.0939,0.2182,0.0413,256,219,197,74
logreg/L46,logreg,46,social,mean_pooled,746,0.7111,0.0939,0.2182,0.0413,256,219,197,74
logreg/L21,logreg,21,economy,mean_pooled,746,0.711,0.0879,0.3182,0.3067,167,359,57,163
logreg/L21,logreg,21,education,mean_pooled,746,0.711,0.0879,0.3182,0.3067,167,359,57,163
logreg/L21,logreg,21,entertainment,mean_pooled,746,0.711,0.0879,0.3182,0.3067,167,359,57,163
logreg/L21,logreg,21,healthcare,mean_pooled,746,0.711,0.0879,0.3182,0.3067,167,359,57,163
logreg/L21,logreg,21,social,mean_pooled,746,0.711,0.0879,0.3182,0.3067,167,359,57,163
mlp/L40,mlp,40,economy,threshold_05_pooled,746,0.7108,0.1424,0.3061,0.038,187,324,92,143
mlp/L40,mlp,40,education,threshold_05_pooled,746,0.7108,0.1424,0.3061,0.038,187,324,92,143
mlp/L40,mlp,40,entertainment,threshold_05_pooled,746,0.7108,0.1424,0.3061,0.038,187,324,92,143
mlp/L40,mlp,40,healthcare,threshold_05_pooled,746,0.7108,0.1424,0.3061,0.038,187,324,92,143
mlp/L40,mlp,40,social,threshold_05_pooled,746,0.7108,0.1424,0.3061,0.038,187,324,92,143
logreg/L22,logreg,22,economy,threshold_05_pooled,746,0.7107,0.0909,0.3545,0.27,184,348,68,146
logreg/L22,logreg,22,education,threshold_05_pooled,746,0.7107,0.0909,0.3545,0.27,184,348,68,146
logreg/L22,logreg,22,entertainment,threshold_05_pooled,746,0.7107,0.0909,0.3545,0.27,184,348,68,146
logreg/L22,logreg,22,healthcare,threshold_05_pooled,746,0.7107,0.0909,0.3545,0.27,184,348,68,146
logreg/L22,logreg,22,social,threshold_05_pooled,746,0.7107,0.0909,0.3545,0.27,184,348,68,146
logreg/L21,logreg,21,economy,threshold_05_pooled,746,0.7106,0.1,0.3364,0.295,169,356,60,161
logreg/L21,logreg,21,education,threshold_05_pooled,746,0.7106,0.1,0.3364,0.295,169,356,60,161
logreg/L21,logreg,21,entertainment,threshold_05_pooled,746,0.7106,0.1,0.3364,0.295,169,356,60,161
logreg/L21,logreg,21,healthcare,threshold_05_pooled,746,0.7106,0.1,0.3364,0.295,169,356,60,161
logreg/L21,logreg,21,social,threshold_05_pooled,746,0.7106,0.1,0.3364,0.295,169,356,60,161
logreg/L48,logreg,48,healthcare,last,157,0.7104,0.1698,0.2642,0.0021,35,74,30,18
svm_rbf/L30,svm_rbf,30,social,last,147,0.71,0.0986,0.2254,0.4188,55,42,34,16
logreg/L75,logreg,75,social,top10_mean,147,0.7098,0.0423,0.0986,0.8306,70,28,48,1
logreg/L30,logreg,30,economy,mean,132,0.7092,0.0351,0.1754,0.0633,37,55,20,20
mlp/L30,mlp,30,entertainment,top10_mean,160,0.7091,0.2752,0.4128,0.8991,56,46,5,53
logreg/L41,logreg,41,economy,last_pooled,746,0.7081,0.1,0.2303,0.0001,248,240,176,82
logreg/L41,logreg,41,education,last_pooled,746,0.7081,0.1,0.2303,0.0001,248,240,176,82
logreg/L41,logreg,41,entertainment,last_pooled,746,0.7081,0.1,0.2303,0.0001,248,240,176,82
logreg/L41,logreg,41,healthcare,last_pooled,746,0.7081,0.1,0.2303,0.0001,248,240,176,82
logreg/L41,logreg,41,social,last_pooled,746,0.7081,0.1,0.2303,0.0001,248,240,176,82
logreg/L77,logreg,77,healthcare,max,157,0.7079,0.0566,0.2075,0.9973,41,59,45,12
svm_rbf/L60,svm_rbf,60,social,max,147,0.7079,0.0986,0.2676,0.4353,57,41,35,14
logreg/L40,logreg,40,social,max,147,0.7075,0.0141,0.2676,0.9531,63,34,42,8
mlp/L40,mlp,40,economy,threshold_05,132,0.7074,0.1579,0.2281,0.0231,43,45,30,14
logreg/L26,logreg,26,education,threshold_05,150,0.707,0.05,0.225,0.1435,26,78,32,14
mlp/L50,mlp,50,social,top5_mean,147,0.707,0.0282,0.1549,0.5443,60,40,36,11
logreg/L39,logreg,39,education,last,150,0.7069,0.2,0.3,0.0011,28,72,38,12
logreg/L47,logreg,47,social,last,147,0.7067,0.0704,0.1549,0.0014,64,33,43,7
logreg/L32,logreg,32,healthcare,last,157,0.7066,0.0,0.0755,0.0598,34,74,30,19
logreg/L60,logreg,60,healthcare,max,157,0.7065,0.1321,0.2453,0.9993,30,83,21,23
logreg/L42,logreg,42,social,threshold_05,147,0.7064,0.1408,0.2394,0.0441,59,42,34,12
svm_rbf/L60,svm_rbf,60,economy,last,132,0.7062,0.0175,0.0702,0.3466,39,54,21,18
logreg/L27,logreg,27,economy,max_pooled,746,0.7061,0.0,0.0,1.0,182,318,98,148
logreg/L27,logreg,27,education,max_pooled,746,0.7061,0.0,0.0,1.0,182,318,98,148
logreg/L27,logreg,27,entertainment,max_pooled,746,0.7061,0.0,0.0,1.0,182,318,98,148
logreg/L27,logreg,27,healthcare,max_pooled,746,0.7061,0.0,0.0,1.0,182,318,98,148
logreg/L27,logreg,27,social,max_pooled,746,0.7061,0.0,0.0,1.0,182,318,98,148
mlp/L70,mlp,70,social,threshold_05,147,0.706,0.169,0.2535,0.0769,45,50,26,26
logreg/L28,logreg,28,social,max,147,0.7058,0.0,0.0,0.9992,58,43,33,13
mlp/L22,mlp,22,economy,top5_mean_pooled,746,0.7058,0.0,0.2455,0.9999,201,305,111,129
mlp/L22,mlp,22,education,top5_mean_pooled,746,0.7058,0.0,0.2455,0.9999,201,305,111,129
mlp/L22,mlp,22,entertainment,top5_mean_pooled,746,0.7058,0.0,0.2455,0.9999,201,305,111,129
mlp/L22,mlp,22,healthcare,top5_mean_pooled,746,0.7058,0.0,0.2455,0.9999,201,305,111,129
mlp/L22,mlp,22,social,top5_mean_pooled,746,0.7058,0.0,0.2455,0.9999,201,305,111,129
logreg/L39,logreg,39,economy,top5_mean_pooled,746,0.7057,0.0606,0.2273,0.8422,247,233,183,83
logreg/L39,logreg,39,education,top5_mean_pooled,746,0.7057,0.0606,0.2273,0.8422,247,233,183,83
logreg/L39,logreg,39,entertainment,top5_mean_pooled,746,0.7057,0.0606,0.2273,0.8422,247,233,183,83
logreg/L39,logreg,39,healthcare,top5_mean_pooled,746,0.7057,0.0606,0.2273,0.8422,247,233,183,83
logreg/L39,logreg,39,social,top5_mean_pooled,746,0.7057,0.0606,0.2273,0.8422,247,233,183,83
svm_rbf/L60,svm_rbf,60,economy,max_pooled,746,0.7056,0.1,0.2182,0.4595,185,319,97,145
svm_rbf/L60,svm_rbf,60,education,max_pooled,746,0.7056,0.1,0.2182,0.4595,185,319,97,145
svm_rbf/L60,svm_rbf,60,entertainment,max_pooled,746,0.7056,0.1,0.2182,0.4595,185,319,97,145
svm_rbf/L60,svm_rbf,60,healthcare,max_pooled,746,0.7056,0.1,0.2182,0.4595,185,319,97,145
svm_rbf/L60,svm_rbf,60,social,max_pooled,746,0.7056,0.1,0.2182,0.4595,185,319,97,145
logreg/L41,logreg,41,economy,top10_mean,132,0.7055,0.0175,0.193,0.566,46,38,37,11
logreg/L42,logreg,42,economy,mean_pooled,746,0.7053,0.0758,0.2455,0.0625,218,276,140,112
logreg/L42,logreg,42,education,mean_pooled,746,0.7053,0.0758,0.2455,0.0625,218,276,140,112
logreg/L42,logreg,42,entertainment,mean_pooled,746,0.7053,0.0758,0.2455,0.0625,218,276,140,112
logreg/L42,logreg,42,healthcare,mean_pooled,746,0.7053,0.0758,0.2455,0.0625,218,276,140,112
logreg/L42,logreg,42,social,mean_pooled,746,0.7053,0.0758,0.2455,0.0625,218,276,140,112
logreg/L46,logreg,46,social,top10_mean,147,0.7053,0.0845,0.1972,0.4983,66,34,42,5
logreg/L32,logreg,32,social,top5_mean,147,0.7052,0.0563,0.1831,0.9377,36,62,14,35
logreg/L43,logreg,43,social,threshold_05,147,0.705,0.1268,0.2254,0.0311,60,41,35,11
logreg/L34,logreg,34,education,threshold_05,150,0.7047,0.35,0.35,0.0322,17,102,8,23
logreg/L20,logreg,20,economy,top5_mean,132,0.7046,0.0,0.0,0.9999,34,63,12,23
logreg/L46,logreg,46,economy,top10_mean_pooled,746,0.7046,0.0667,0.1818,0.4663,286,178,238,44
logreg/L46,logreg,46,education,top10_mean_pooled,746,0.7046,0.0667,0.1818,0.4663,286,178,238,44
logreg/L46,logreg,46,entertainment,top10_mean_pooled,746,0.7046,0.0667,0.1818,0.4663,286,178,238,44
logreg/L46,logreg,46,healthcare,top10_mean_pooled,746,0.7046,0.0667,0.1818,0.4663,286,178,238,44
logreg/L46,logreg,46,social,top10_mean_pooled,746,0.7046,0.0667,0.1818,0.4663,286,178,238,44
logreg/L34,logreg,34,social,max,147,0.7044,0.0563,0.2113,0.9384,57,42,34,14
logreg/L44,logreg,44,social,top10_mean,147,0.7042,0.0845,0.1408,0.7652,52,49,27,19
logreg/L58,logreg,58,healthcare,last,157,0.704,0.1509,0.2264,0.0064,30,78,26,23
mlp/L70,mlp,70,social,mean,147,0.704,0.1127,0.2535,0.0591,60,34,42,11
logreg/L40,logreg,40,economy,top5_mean_pooled,746,0.7039,0.0697,0.2091,0.9495,186,308,108,144
logreg/L40,logreg,40,education,top5_mean_pooled,746,0.7039,0.0697,0.2091,0.9495,186,308,108,144
logreg/L40,logreg,40,entertainment,top5_mean_pooled,746,0.7039,0.0697,0.2091,0.9495,186,308,108,144
logreg/L40,logreg,40,healthcare,top5_mean_pooled,746,0.7039,0.0697,0.2091,0.9495,186,308,108,144
logreg/L40,logreg,40,social,top5_mean_pooled,746,0.7039,0.0697,0.2091,0.9495,186,308,108,144
logreg/L42,logreg,42,education,last,150,0.7039,0.15,0.3,0.0001,25,84,26,15
svm_rbf/L50,svm_rbf,50,economy,max_pooled,746,0.7038,0.0818,0.1909,0.4601,202,299,117,128
svm_rbf/L50,svm_rbf,50,education,max_pooled,746,0.7038,0.0818,0.1909,0.4601,202,299,117,128
svm_rbf/L50,svm_rbf,50,entertainment,max_pooled,746,0.7038,0.0818,0.1909,0.4601,202,299,117,128
svm_rbf/L50,svm_rbf,50,healthcare,max_pooled,746,0.7038,0.0818,0.1909,0.4601,202,299,117,128
svm_rbf/L50,svm_rbf,50,social,max_pooled,746,0.7038,0.0818,0.1909,0.4601,202,299,117,128
logreg/L50,logreg,50,healthcare,last,157,0.7037,0.1321,0.2642,0.0012,29,83,21,24
logreg/L23,logreg,23,economy,mean,132,0.7036,0.0175,0.1404,0.2118,33,66,9,24
svm_rbf/L35,svm_rbf,35,economy,top5_mean,132,0.7036,0.0351,0.1053,0.4925,35,55,20,22
logreg/L30,logreg,30,entertainment,top5_mean,160,0.7034,0.3303,0.3853,0.9814,48,47,4,61
logreg/L57,logreg,57,healthcare,max,157,0.7034,0.0943,0.2075,0.9991,31,80,24,22
logreg/L46,logreg,46,social,mean,147,0.7031,0.0986,0.2254,0.0495,59,41,35,12
mlp/L45,mlp,45,economy,threshold_05_pooled,746,0.703,0.1091,0.2818,0.0442,192,303,113,138
mlp/L45,mlp,45,education,threshold_05_pooled,746,0.703,0.1091,0.2818,0.0442,192,303,113,138
mlp/L45,mlp,45,entertainment,threshold_05_pooled,746,0.703,0.1091,0.2818,0.0442,192,303,113,138
mlp/L45,mlp,45,healthcare,threshold_05_pooled,746,0.703,0.1091,0.2818,0.0442,192,303,113,138
mlp/L45,mlp,45,social,threshold_05_pooled,746,0.703,0.1091,0.2818,0.0442,192,303,113,138
logreg/L18,logreg,18,social,top10_mean,147,0.7027,0.0,0.1831,1.0,43,59,17,28
svm_rbf/L22,svm_rbf,22,social,top10_mean,147,0.7027,0.1408,0.1831,0.5744,60,38,38,11
logreg/L79,logreg,79,healthcare,threshold_05,157,0.7023,0.0755,0.2453,0.0909,35,74,30,18
svm_rbf/L35,svm_rbf,35,social,max,147,0.7022,0.0,0.1408,0.4915,56,43,33,15
logreg/L42,logreg,42,economy,top10_mean_pooled,746,0.7021,0.1212,0.1879,0.808,206,290,126,124
logreg/L42,logreg,42,education,top10_mean_pooled,746,0.7021,0.1212,0.1879,0.808,206,290,126,124
logreg/L42,logreg,42,entertainment,top10_mean_pooled,746,0.7021,0.1212,0.1879,0.808,206,290,126,124
logreg/L42,logreg,42,healthcare,top10_mean_pooled,746,0.7021,0.1212,0.1879,0.808,206,290,126,124
logreg/L42,logreg,42,social,top10_mean_pooled,746,0.7021,0.1212,0.1879,0.808,206,290,126,124
mlp/L50,mlp,50,social,mean,147,0.702,0.2254,0.2535,0.0213,60,38,38,11
logreg/L46,logreg,46,social,top5_mean,147,0.7019,0.0563,0.1408,0.7219,65,35,41,6
svm_rbf/L30,svm_rbf,30,economy,threshold_05_pooled,746,0.7019,0.1667,0.3424,0.216,184,339,77,146
svm_rbf/L30,svm_rbf,30,education,threshold_05_pooled,746,0.7019,0.1667,0.3424,0.216,184,339,77,146
svm_rbf/L30,svm_rbf,30,entertainment,threshold_05_pooled,746,0.7019,0.1667,0.3424,0.216,184,339,77,146
svm_rbf/L30,svm_rbf,30,healthcare,threshold_05_pooled,746,0.7019,0.1667,0.3424,0.216,184,339,77,146
svm_rbf/L30,svm_rbf,30,social,threshold_05_pooled,746,0.7019,0.1667,0.3424,0.216,184,339,77,146
logreg/L34,logreg,34,entertainment,threshold_05,160,0.7017,0.0734,0.211,0.0446,60,41,10,49
logreg/L47,logreg,47,economy,top10_mean_pooled,746,0.7015,0.0394,0.1667,0.6463,256,221,195,74
logreg/L47,logreg,47,education,top10_mean_pooled,746,0.7015,0.0394,0.1667,0.6463,256,221,195,74
logreg/L47,logreg,47,entertainment,top10_mean_pooled,746,0.7015,0.0394,0.1667,0.6463,256,221,195,74
logreg/L47,logreg,47,healthcare,top10_mean_pooled,746,0.7015,0.0394,0.1667,0.6463,256,221,195,74
logreg/L47,logreg,47,social,top10_mean_pooled,746,0.7015,0.0394,0.1667,0.6463,256,221,195,74
mlp/L35,mlp,35,entertainment,top10_mean,160,0.7015,0.0183,0.1651,0.993,57,42,9,52
svm_rbf/L70,svm_rbf,70,economy,mean,132,0.7015,0.0351,0.3509,0.3865,34,60,15,23
logreg/L79,logreg,79,healthcare,max,157,0.7012,0.1887,0.2453,0.9974,27,90,14,26
mlp/L22,mlp,22,economy,mean_pooled,746,0.7012,0.0758,0.3485,0.2535,188,332,84,142
mlp/L22,mlp,22,education,mean_pooled,746,0.7012,0.0758,0.3485,0.2535,188,332,84,142
mlp/L22,mlp,22,entertainment,mean_pooled,746,0.7012,0.0758,0.3485,0.2535,188,332,84,142
mlp/L22,mlp,22,healthcare,mean_pooled,746,0.7012,0.0758,0.3485,0.2535,188,332,84,142
mlp/L22,mlp,22,social,mean_pooled,746,0.7012,0.0758,0.3485,0.2535,188,332,84,142
logreg/L23,logreg,23,economy,mean_pooled,746,0.701,0.1303,0.3212,0.2167,172,346,70,158
logreg/L23,logreg,23,education,mean_pooled,746,0.701,0.1303,0.3212,0.2167,172,346,70,158
logreg/L23,logreg,23,entertainment,mean_pooled,746,0.701,0.1303,0.3212,0.2167,172,346,70,158
logreg/L23,logreg,23,healthcare,mean_pooled,746,0.701,0.1303,0.3212,0.2167,172,346,70,158
logreg/L23,logreg,23,social,mean_pooled,746,0.701,0.1303,0.3212,0.2167,172,346,70,158
logreg/L36,logreg,36,entertainment,top5_mean,160,0.701,0.0275,0.3028,0.9572,57,44,7,52
logreg/L21,logreg,21,economy,top5_mean_pooled,746,0.7009,0.0,0.0,0.9998,215,278,138,115
logreg/L21,logreg,21,education,top5_mean_pooled,746,0.7009,0.0,0.0,0.9998,215,278,138,115
logreg/L21,logreg,21,entertainment,top5_mean_pooled,746,0.7009,0.0,0.0,0.9998,215,278,138,115
logreg/L21,logreg,21,healthcare,top5_mean_pooled,746,0.7009,0.0,0.0,0.9998,215,278,138,115
logreg/L21,logreg,21,social,top5_mean_pooled,746,0.7009,0.0,0.0,0.9998,215,278,138,115
mlp/L22,mlp,22,economy,threshold_05_pooled,746,0.7007,0.0727,0.3545,0.2582,179,343,73,151
mlp/L22,mlp,22,education,threshold_05_pooled,746,0.7007,0.0727,0.3545,0.2582,179,343,73,151
mlp/L22,mlp,22,entertainment,threshold_05_pooled,746,0.7007,0.0727,0.3545,0.2582,179,343,73,151
mlp/L22,mlp,22,healthcare,threshold_05_pooled,746,0.7007,0.0727,0.3545,0.2582,179,343,73,151
mlp/L22,mlp,22,social,threshold_05_pooled,746,0.7007,0.0727,0.3545,0.2582,179,343,73,151
logreg/L73,logreg,73,healthcare,max,157,0.7006,0.1321,0.283,0.9996,27,89,15,26
