probe,arch,layer,domain,aggregation,n,auroc,tpr@1%fpr,tpr@5%fpr,threshold,TP,TN,FP,FN
logreg/L21,logreg,21,social,mean,147,0.8786,0.4225,0.6197,0.2238,58,62,14,13
logreg/L29,logreg,29,social,mean,147,0.8779,0.507,0.5915,0.0427,54,67,9,17
logreg/L26,logreg,26,social,top5_mean,147,0.8774,0.0,0.5352,0.9996,59,60,16,12
svm_rbf/L50,svm_rbf,50,healthcare,top10_mean,157,0.8774,0.2453,0.4151,0.4249,45,87,17,8
logreg/L28,logreg,28,healthcare,mean,157,0.8768,0.2075,0.4151,0.0814,48,74,30,5
logreg/L36,logreg,36,social,top10_mean,147,0.8764,0.3099,0.5352,0.7426,50,69,7,21
svm_rbf/L40,svm_rbf,40,entertainment,mean,160,0.8757,0.2569,0.6147,0.3547,81,43,8,28
logreg/L21,logreg,21,social,threshold_05,147,0.8755,0.3662,0.6197,0.2377,55,65,11,16
logreg/L29,logreg,29,social,top10_mean,147,0.8744,0.4648,0.5634,0.776,49,69,7,22
mlp/L30,mlp,30,social,top5_mean,147,0.8732,0.169,0.6338,0.8361,54,68,8,17
mlp/L26,mlp,26,healthcare,threshold_05,157,0.8728,0.3396,0.566,0.27,35,98,6,18
logreg/L33,logreg,33,healthcare,top10_mean,157,0.8725,0.2642,0.4528,0.3252,38,91,13,15
logreg/L32,logreg,32,healthcare,top10_mean,157,0.8716,0.3774,0.4528,0.3781,40,88,16,13
mlp/L30,mlp,30,healthcare,mean,157,0.8716,0.2264,0.5094,0.0203,42,85,19,11
svm_rbf/L22,svm_rbf,22,healthcare,mean,157,0.8712,0.3019,0.566,0.5133,43,87,17,10
logreg/L33,logreg,33,healthcare,mean,157,0.8706,0.3585,0.434,0.0203,38,89,15,15
svm_rbf/L50,svm_rbf,50,healthcare,top5_mean,157,0.8705,0.1509,0.434,0.4353,47,80,24,6
logreg/L29,logreg,29,healthcare,top10_mean,157,0.8703,0.1132,0.4906,0.4256,48,74,30,5
svm_rbf/L55,svm_rbf,55,healthcare,top10_mean,157,0.8694,0.2075,0.3208,0.4315,44,83,21,9
mlp/L26,mlp,26,healthcare,mean,157,0.8688,0.2642,0.566,0.2466,37,95,9,16
mlp/L30,mlp,30,social,threshold_05,147,0.8687,0.4648,0.5493,0.0308,52,70,6,19
mlp/L35,mlp,35,economy,mean_pooled,746,0.8685,0.2364,0.5758,0.1922,240,370,46,90
mlp/L35,mlp,35,education,mean_pooled,746,0.8685,0.2364,0.5758,0.1922,240,370,46,90
mlp/L35,mlp,35,entertainment,mean_pooled,746,0.8685,0.2364,0.5758,0.1922,240,370,46,90
mlp/L35,mlp,35,healthcare,mean_pooled,746,0.8685,0.2364,0.5758,0.1922,240,370,46,90
mlp/L35,mlp,35,social,mean_pooled,746,0.8685,0.2364,0.5758,0.1922,240,370,46,90
logreg/L29,logreg,29,healthcare,top5_mean,157,0.8681,0.1321,0.4906,0.4969,51,68,36,2
logreg/L29,logreg,29,healthcare,threshold_05,157,0.868,0.2264,0.4528,0.0337,43,82,22,10
mlp/L22,mlp,22,social,threshold_05,147,0.8673,0.0141,0.4085,0.2153,57,62,14,14
svm_rbf/L70,svm_rbf,70,social,top5_mean,147,0.8673,0.1408,0.507,0.4463,56,63,13,15
svm_rbf/L60,svm_rbf,60,healthcare,mean,157,0.8672,0.3962,0.4906,0.3486,46,77,27,7
svm_rbf/L60,svm_rbf,60,healthcare,top10_mean,157,0.8672,0.2453,0.4528,0.4266,44,79,25,9
logreg/L26,logreg,26,healthcare,threshold_05,157,0.8667,0.2642,0.4906,0.2865,35,98,6,18
mlp/L30,mlp,30,healthcare,top10_mean,157,0.8667,0.1509,0.5283,0.3232,42,83,21,11
logreg/L26,logreg,26,healthcare,mean,157,0.8663,0.3019,0.5472,0.2886,35,98,6,18
logreg/L25,logreg,25,social,top5_mean,147,0.8657,0.0,0.4789,0.9962,61,53,23,10
logreg/L28,logreg,28,healthcare,top10_mean,157,0.8654,0.2075,0.4717,0.907,45,78,26,8
logreg/L28,logreg,28,healthcare,threshold_05,157,0.8654,0.1887,0.3962,0.0764,47,74,30,6
svm_rbf/L26,svm_rbf,26,healthcare,threshold_05,157,0.8643,0.3396,0.5472,0.3662,35,96,8,18
logreg/L23,logreg,23,social,top5_mean,147,0.8641,0.1831,0.5493,0.9991,51,65,11,20
logreg/L24,logreg,24,healthcare,mean,157,0.8638,0.5472,0.6038,0.2312,34,97,7,19
logreg/L36,logreg,36,social,mean,147,0.8634,0.2535,0.4789,0.0498,60,58,18,11
logreg/L21,logreg,21,social,top5_mean,147,0.863,0.0,0.2958,0.9993,63,57,19,8
logreg/L23,logreg,23,social,mean,147,0.8627,0.1972,0.5493,0.1694,49,68,8,22
mlp/L30,mlp,30,healthcare,top5_mean,157,0.8625,0.1509,0.434,0.5443,41,85,19,12
svm_rbf/L55,svm_rbf,55,healthcare,mean,157,0.8625,0.2453,0.4906,0.3418,44,82,22,9
svm_rbf/L26,svm_rbf,26,social,threshold_05,147,0.8624,0.1408,0.2254,0.3231,62,56,20,9
svm_rbf/L35,svm_rbf,35,healthcare,mean,157,0.8624,0.1887,0.3585,0.4013,42,87,17,11
logreg/L24,logreg,24,healthcare,threshold_05,157,0.8621,0.5283,0.6038,0.2284,34,98,6,19
logreg/L29,logreg,29,social,top5_mean,147,0.8621,0.3521,0.5634,0.9519,47,70,6,24
svm_rbf/L26,svm_rbf,26,social,mean,147,0.8617,0.1408,0.1972,0.4831,63,57,19,8
logreg/L31,logreg,31,healthcare,top5_mean,157,0.8614,0.283,0.3962,0.468,44,78,26,9
logreg/L35,logreg,35,social,top10_mean,147,0.8614,0.2817,0.3662,0.6831,62,56,20,9
logreg/L35,logreg,35,social,threshold_05,147,0.8612,0.338,0.507,0.0465,59,60,16,12
logreg/L24,logreg,24,social,threshold_05,147,0.8609,0.2254,0.5211,0.1385,47,69,7,24
logreg/L35,logreg,35,healthcare,mean,157,0.8603,0.1509,0.4151,0.0448,40,88,16,13
svm_rbf/L22,svm_rbf,22,healthcare,threshold_05,157,0.8603,0.2264,0.566,0.7277,39,91,13,14
logreg/L20,logreg,20,healthcare,mean,157,0.8601,0.6038,0.6604,0.2569,35,100,4,18
mlp/L22,mlp,22,social,mean,147,0.8599,0.0141,0.4085,0.1735,63,55,21,8
logreg/L29,logreg,29,social,threshold_05,147,0.8598,0.4789,0.5493,0.0392,51,66,10,20
logreg/L24,logreg,24,social,mean,147,0.8595,0.3521,0.5211,0.1471,50,66,10,21
svm_rbf/L40,svm_rbf,40,social,top10_mean,147,0.8593,0.169,0.3099,0.4115,62,56,20,9
logreg/L22,logreg,22,healthcare,mean,157,0.8585,0.6226,0.6792,0.3061,36,99,5,17
logreg/L35,logreg,35,healthcare,top10_mean,157,0.8583,0.2075,0.3962,0.6037,40,87,17,13
logreg/L24,logreg,24,social,top5_mean,147,0.858,0.2113,0.3803,0.9935,57,60,16,14
logreg/L24,logreg,24,healthcare,top10_mean,157,0.8574,0.2075,0.5472,0.9701,43,76,28,10
logreg/L20,logreg,20,social,top10_mean,147,0.8573,0.2535,0.3944,0.9958,56,63,13,15
logreg/L32,logreg,32,healthcare,top5_mean,157,0.8569,0.3774,0.434,0.565,40,86,18,13
logreg/L20,logreg,20,social,top5_mean,147,0.8567,0.3099,0.338,0.9984,60,55,21,11
logreg/L22,logreg,22,healthcare,threshold_05,157,0.8567,0.6226,0.6604,0.375,33,104,0,20
logreg/L37,logreg,37,social,mean,147,0.8566,0.3944,0.4789,0.1213,48,70,6,23
logreg/L23,logreg,23,social,threshold_05,147,0.8563,0.169,0.5352,0.1548,50,67,9,21
logreg/L33,logreg,33,healthcare,top5_mean,157,0.8563,0.2075,0.4906,0.4126,44,75,29,9
logreg/L20,logreg,20,healthcare,threshold_05,157,0.8559,0.6038,0.6415,0.2284,36,97,7,17
logreg/L37,logreg,37,healthcare,top10_mean,157,0.8552,0.1321,0.4717,0.7671,41,86,18,12
mlp/L35,mlp,35,entertainment,mean,160,0.8552,0.2202,0.3028,0.2205,89,43,8,20
svm_rbf/L45,svm_rbf,45,economy,mean,132,0.855,0.2281,0.3158,0.3453,48,59,16,9
svm_rbf/L35,svm_rbf,35,entertainment,mean,160,0.8548,0.2569,0.633,0.4124,89,45,6,20
mlp/L22,mlp,22,healthcare,mean,157,0.8547,0.6226,0.6792,0.2931,36,99,5,17
logreg/L26,logreg,26,healthcare,top10_mean,157,0.854,0.1509,0.4717,0.9971,44,77,27,9
mlp/L35,mlp,35,economy,threshold_05_pooled,746,0.8533,0.2364,0.5242,0.1447,259,329,87,71
mlp/L35,mlp,35,education,threshold_05_pooled,746,0.8533,0.2364,0.5242,0.1447,259,329,87,71
mlp/L35,mlp,35,entertainment,threshold_05_pooled,746,0.8533,0.2364,0.5242,0.1447,259,329,87,71
mlp/L35,mlp,35,healthcare,threshold_05_pooled,746,0.8533,0.2364,0.5242,0.1447,259,329,87,71
mlp/L35,mlp,35,social,threshold_05_pooled,746,0.8533,0.2364,0.5242,0.1447,259,329,87,71
